,사고 빈번수,사상자 위험도,사고 위험도,,,,
서울특별시 은평구 증산동,9,약간 위험,위험,,,,
서울특별시 동작구 대방동,11,약간 위험,매우 위험,,,,
서울특별시 강서구 내발산동,5,약간 위험,위험,,,,
서울특별시 동대문구 답십리동,6,약간 위험,위험,,,,
서울특별시 종로구 효제동,6,약간 위험,위험,,,,
서울특별시 도봉구 창동,19,약간 위험,매우 위험,,,,
서울특별시 용산구 한강로3가,7,약간 위험,매우 위험,,,,
서울특별시 서초구 잠원동,5,약간 위험,위험,,,,
서울특별시 중구 충무로1가,5,약간 위험,매우 위험,,,,
서울특별시 양천구 목동,28,약간 위험,위험,,,,
서울특별시 영등포구 당산동1가,5,약간 위험,위험,,,,
서울특별시 영등포구 영등포동7가,8,약간 위험,매우 위험,,,,
서울특별시 광진구 광장동,4,약간 위험,위험,,,,
서울특별시 강서구 공항동,6,약간 위험,매우 위험,,,,
서울특별시 강서구 염창동,4,약간 위험,위험,,,,
서울특별시 성북구 장위동,20,약간 위험,위험,,,,
서울특별시 구로구 구로동,13,약간 위험,위험,,,,
서울특별시 중구 방산동,15,약간 위험,위험,,,,
서울특별시 중구 소공동,8,약간 위험,매우 위험,,,,
서울특별시 서대문구 냉천동,7,약간 위험,위험,,,,
서울특별시 서대문구 북가좌동,4,약간 위험,위험,,,,
서울특별시 광진구 능동,4,약간 위험,매우 위험,,,,
서울특별시 서대문구 홍은동,9,약간 위험,위험,,,,
서울특별시 마포구 도화동,7,약간 위험,위험,,,,
서울특별시 마포구 동교동,5,약간 위험,약간 위험,,,,
서울특별시 종로구 종로2가,5,약간 위험,매우 위험,,,,
서울특별시 중구 서소문동,7,약간 위험,매우 위험,,,,
서울특별시 용산구 원효로1가,5,약간 위험,위험,,,,
서울특별시 금천구 가산동,9,약간 위험,위험,,,,
서울특별시 영등포구 영등포동2가,4,약간 위험,위험,,,,
서울특별시 용산구 보광동,6,약간 위험,매우 위험,,,,
서울특별시 성북구 길음동,4,약간 위험,위험,,,,
서울특별시 도봉구 방학동,4,약간 위험,매우 위험,,,,
서울특별시 노원구 중계동,4,약간 위험,위험,,,,
서울특별시 서대문구 대현동,6,약간 위험,위험,,,,
서울특별시 서대문구 연희동,4,약간 위험,위험,,,,
서울특별시 영등포구 당산동3가,4,약간 위험,위험,,,,
서울특별시 동작구 사당동,12,약간 위험,위험,,,,
서울특별시 강동구 성내동,7,약간 위험,위험,,,,
서울특별시 강동구 천호동,4,약간 위험,위험,,,,
서울특별시 송파구 가락동,7,약간 위험,위험,,,,
서울특별시 강동구 고덕동,4,약간 위험,위험,,,,
